Customer_ID,Customer_Name,Gender,Senior_Citizen,Partner,Dependents,Contract_Type,Churn_Flag
C000059,Dustin Gibson,female,0,Yes,Yes,two year,No
C000060,Bianca Lee,female,0,No,No,two year,No
C000061,Eddie Gilbert,female,0,Yes,No,month-to-month,No
C000062,Tiffany Bryant,male,0,No,No,month-to-month,No
C000063,Susan Wiggins,male,0,Yes,No,two year,No
C000064,Natalie Bailey,female,0,Yes,Yes,one year,No
C000065,Jennifer Santana,female,0,No,No,month-to-month,Yes
C000066,John Perkins,female,0,No,No,month-to-month,No
C000067,David Ochoa,male,0,Yes,No,one year,No
C000068,Joshua Stevens,female,0,No,No,two year,No
C000069,Sarah Hughes,female,0,Yes,Yes,two year,No
C000070,Margaret Lewis,male,0,No,No,month-to-month,No
C000071,Timothy Wade,male,0,No,No,month-to-month,No
C000072,Anthony Dillon,female,0,Yes,Yes,one year,No
C000073,John Garcia,male,1,Yes,Yes,two year,No
C000074,Paula Gonzalez,male,0,Yes,Yes,two year,No
C000075,Lori Greene,female,0,No,Yes,month-to-month,No
C000076,John Martin,female,1,No,No,one year,No
C000077,Jennifer White,female,0,No,No,one year,No
C000078,Sara White,female,0,Yes,Yes,month-to-month,No
C000079,Zachary Lopez,male,1,No,No,month-to-month,No
C000080,Christopher Silva,female,0,Yes,Yes,one year,No
C000081,William Harper,female,0,No,Yes,month-to-month,Yes
C000082,Brian Miller,female,0,Yes,Yes,month-to-month,No
C000083,Susan Kelley,female,0,Yes,No,month-to-month,Yes
C000084,Rachel Walker,female,0,No,No,month-to-month,No
C000085,Ashley Lane,female,0,Yes,No,two year,No
C000086,Bradley Hanson,male,0,No,No,month-to-month,No
C000087,Shelby Young,female,0,Yes,No,one year,No
C000088,Brenda Casey,female,0,Yes,Yes,two year,No
C000089,April Nelson,female,0,Yes,Yes,two year,No
C000090,Leslie Carrillo,male,0,Yes,No,month-to-month,No
C000091,Robert Russell,male,0,Yes,Yes,month-to-month,No
C000092,Troy Olson,male,1,No,No,month-to-month,No
C000093,Timothy Gonzalez,male,0,Yes,Yes,two year,No
C000094,Elizabeth Garrett,female,0,No,No,month-to-month,No
C000095,Barbara Rice,male,0,No,No,two year,No
C000096,Charles Ortiz,female,0,No,No,month-to-month,Yes
C000097,James Cole,male,0,Yes,Yes,one year,No
C000098,Aaron Neal,male,0,No,No,month-to-month,Yes
C000099,Kelsey Davis,male,0,No,No,two year,No
C000100,Zachary Johnson,female,1,Yes,No,month-to-month,Yes
C000101,Brandi Frazier,male,0,No,No,month-to-month,No
C000102,Rebecca York,female,0,Yes,Yes,month-to-month,No
C000103,Shane Gibson,male,0,No,No,one year,No
C000104,Monica Shaffer,female,1,Yes,No,one year,No
C000105,Dennis Hanson,male,0,Yes,No,two year,Yes
C000106,Catherine Hernandez,male,0,No,No,month-to-month,No
C000107,Richard Fields,female,0,Yes,Yes,one year,No
C000108,Charles King,female,0,No,No,one year,No
C000109,Madison Woodard,male,0,No,No,one year,No
C000110,Jasmine Singleton,male,0,Yes,Yes,two year,No
C000111,Tiffany Myers,male,0,Yes,No,month-to-month,Yes
C000112,Victoria Jones,female,0,No,No,one year,No
C000113,James Weeks,female,0,No,No,month-to-month,No
C000114,Beverly Ryan,female,1,Yes,No,month-to-month,Yes
C000115,Tony Small,female,0,Yes,Yes,two year,No
C000116,Cheryl Walker,male,0,Yes,Yes,month-to-month,No
C000117,Gabrielle Cowan,female,0,No,No,two year,No
C000118,Ralph Chambers,female,0,Yes,Yes,month-to-month,Yes
C000119,David Cooper,female,0,No,No,two year,No
C000120,April Pierce,male,0,Yes,Yes,month-to-month,No
C000121,Brian Leach,female,0,Yes,Yes,one year,No
C000122,Amber Bryant,female,0,No,No,month-to-month,No
C000123,Cody Turner,male,0,No,No,month-to-month,Yes
C000124,Andre Nixon,female,0,Yes,Yes,month-to-month,No
C000125,Guy Morrison,female,0,Yes,Yes,month-to-month,No
C000126,Jeremy Miller,male,0,No,No,two year,No
C000127,Julie Holmes,female,1,No,No,month-to-month,Yes
C000128,Jonathan Weber,male,0,Yes,No,two year,No
C000129,Kristin Browning,male,0,No,No,month-to-month,No
C000130,Kimberly Hoffman,male,1,No,No,one year,No
C000131,Michael Lewis,female,0,No,No,month-to-month,No
C000132,Mario Barnett,female,0,Yes,Yes,month-to-month,Yes
C000133,Linda Ramos,male,0,No,No,two year,No
C000134,Scott Williams,male,0,No,No,month-to-month,Yes
C000135,Anthony Saunders,male,0,No,No,month-to-month,Yes
C000136,Tammy Jimenez,female,0,No,No,two year,No
C000137,Stacy Huber,female,0,No,No,month-to-month,No
C000138,Rachel Gonzalez,female,0,Yes,Yes,two year,No
C000139,Douglas Craig,male,0,No,Yes,two year,No
C000140,Beverly Garcia,female,1,Yes,No,month-to-month,Yes
C000141,Shannon Hall,female,1,Yes,Yes,two year,No
C000142,Daniel Burgess,female,0,No,No,month-to-month,Yes
C000143,Joshua Allen,female,0,Yes,No,two year,No
C000144,Rachel Ballard,male,0,No,No,one year,No
C000145,Matthew Perry,male,1,Yes,No,two year,No
C000146,Michael Alvarez,female,0,Yes,Yes,two year,No
C000147,Kristine Kirby,male,0,No,No,one year,No
C000148,Timothy Manning,male,0,No,No,month-to-month,Yes
C000149,Charles Walton,male,0,No,Yes,one year,No
C000150,Katherine Cobb,male,0,Yes,Yes,month-to-month,No
C000151,Nathaniel Evans,female,0,Yes,Yes,month-to-month,No
C000152,Anna Mercado,male,0,No,No,month-to-month,Yes
C000153,Lisa Jones,female,0,Yes,Yes,one year,No
C000154,Caitlin Williams,male,0,Yes,Yes,two year,No
C000155,Debra Dawson,female,0,Yes,Yes,month-to-month,No
C000156,Amber Anderson,female,0,Yes,Yes,month-to-month,No
C000157,Brian Dawson,female,0,No,No,month-to-month,No
C000158,Max Long,male,0,Yes,Yes,one year,No
C000159,Brandon Harris,male,0,Yes,Yes,two year,No
C000160,Carlos Nguyen,male,0,No,No,two year,No
C000161,Kathryn Newman,female,0,No,Yes,month-to-month,No
C000162,Christopher Wilkinson,female,0,Yes,No,month-to-month,Yes
C000163,Randy Miller,female,0,No,No,month-to-month,No
C000164,Ryan Ramsey,male,0,No,No,two year,No
C000165,Alan Torres,female,0,Yes,Yes,one year,No
C000166,William Caldwell,male,0,Yes,No,two year,No
C000167,Joshua Norman,female,0,No,No,month-to-month,Yes
C000168,Angela Johnson,male,0,Yes,No,two year,No
C000169,Paul Becker,male,1,Yes,No,month-to-month,Yes
C000170,Annette Yang,female,0,Yes,Yes,month-to-month,No
C000171,Randy Haas,male,0,Yes,No,one year,No
C000172,Edwin Robinson,female,0,Yes,No,month-to-month,Yes
C000173,Zachary Kelly,male,0,Yes,No,two year,No
C000174,Bradley Ellison,female,0,Yes,No,one year,Yes
C000175,Michele May,female,0,No,No,one year,No
C000176,Susan Young,female,0,Yes,No,month-to-month,No
C000177,Kevin Rodriguez,female,1,No,No,month-to-month,Yes
C000178,Helen Peterson,female,1,No,No,month-to-month,Yes
C000179,Julie Hall,female,0,Yes,Yes,month-to-month,No
C000180,John Davis,male,0,Yes,No,one year,No
C000181,Kimberly Young,female,0,No,No,month-to-month,Yes
C000182,Martin Gonzales,female,0,No,No,month-to-month,No
C000183,Bryce Lee,male,0,No,No,month-to-month,Yes
C000184,Isabel Allen,male,0,Yes,Yes,one year,No
C000185,Timothy Gates,female,0,No,No,month-to-month,Yes
C000186,Raymond Cabrera,female,0,Yes,No,month-to-month,Yes
C000187,Samantha Dominguez,male,0,No,No,month-to-month,No
C000188,Allison Perez,male,0,No,No,month-to-month,No
C000189,Janet Turner,female,0,No,No,one year,No
C000190,Melissa Hayden,female,0,Yes,No,month-to-month,No
C000191,Juan Hall,male,0,Yes,Yes,one year,No
C000192,Felicia Fuller,male,0,Yes,No,month-to-month,Yes
C000193,Matthew Glenn,female,0,Yes,Yes,two year,No
C000194,Michael Robertson,female,0,Yes,Yes,two year,No
C000195,Emily Simpson,male,0,Yes,Yes,two year,No
C000196,Cindy Stein,female,0,Yes,No,month-to-month,No
C000197,Laura Davis,male,0,Yes,Yes,two year,No
C000198,David Carey,male,0,No,No,month-to-month,No
C000199,Michelle Brown,male,0,Yes,Yes,two year,No
C000200,Hailey Mullins,male,0,No,Yes,month-to-month,No
C000201,Matthew Crawford,female,0,Yes,No,one year,No
C000202,Tiffany Fox,female,0,No,No,month-to-month,No
C000203,Sophia Kramer,male,0,Yes,Yes,two year,No
C000204,David Ruiz,male,0,No,Yes,month-to-month,No
C000205,Sara Black,male,0,No,No,month-to-month,No
C000206,Stephen Smith,female,0,No,No,one year,No
C000207,Mary Ramsey,male,0,Yes,Yes,two year,No
C000208,Joseph Gates,male,0,No,No,month-to-month,Yes
C000209,Paul Fitzpatrick,female,0,No,No,month-to-month,Yes
C000210,Sean Reyes,male,0,Yes,No,one year,No
C000211,Kimberly Smith,male,0,No,No,month-to-month,Yes
C000212,Amanda James,female,0,No,No,month-to-month,No
C000213,Nicholas King,male,0,No,Yes,two year,No
C000214,Brian Davidson,female,0,Yes,Yes,one year,No
C000215,Tracy Reynolds,male,1,Yes,No,month-to-month,No
C000216,Logan Garcia,female,0,Yes,No,month-to-month,No
C000217,Desiree Jones,male,0,Yes,Yes,two year,No
C000218,Benjamin Dunn,male,0,Yes,No,two year,No
C000219,Jason Hurley,male,0,Yes,Yes,two year,No
C000220,Ryan Ferrell,female,0,No,No,month-to-month,No
C000221,Lawrence Ferguson,female,0,No,No,month-to-month,Yes
C000222,Judy Carey,female,0,Yes,No,two year,No
C000223,Christy Chambers,male,0,Yes,Yes,one year,No
C000224,Lisa Woods,male,0,Yes,No,month-to-month,Yes
C000225,Tammy Weaver,female,0,No,No,one year,No
C000226,James Wallace,male,0,No,No,one year,No
C000227,Karina Ferguson,female,0,Yes,Yes,one year,No
C000228,Bill Dyer,female,0,Yes,No,month-to-month,Yes
C000229,Melanie Howard,male,0,No,No,month-to-month,No
C000230,Timothy Kelly,female,0,Yes,Yes,two year,No
C000231,Tiffany Howard,male,0,No,No,two year,No
C000232,James Schultz,male,0,No,No,month-to-month,No
C000233,Drew Wood,male,0,No,No,month-to-month,Yes
C000234,Katherine Carey,female,0,No,No,two year,No
C000235,Nathan Gonzalez,female,0,No,No,month-to-month,No
C000236,Rachel Ellison,male,0,No,No,month-to-month,Yes
C000237,Rebecca Jimenez,female,0,No,No,two year,No
C000238,Robert Cobb,male,0,Yes,No,month-to-month,No
C000239,Kyle Rios,female,1,No,No,month-to-month,Yes
C000240,Andrew King,male,0,No,No,two year,No
C000241,Emily Case,female,0,No,No,two year,No
C000242,Jenny Taylor,male,0,No,No,two year,No
C000243,Antonio Ramirez,female,0,Yes,Yes,one year,No
C000244,Beverly Hughes,female,1,Yes,No,month-to-month,No
C000245,Travis Stewart,female,1,No,No,month-to-month,No
C000246,Angela Edwards,male,1,No,No,month-to-month,No
C000247,Sarah Campbell,male,0,No,No,one year,No
C000248,Melissa Nelson,male,1,No,No,month-to-month,Yes
C000249,Amy Morgan,male,0,No,No,month-to-month,Yes
C000250,Dominique Gross,male,0,No,No,one year,No
C000251,Kayla Cannon,female,0,Yes,No,one year,No
C000252,Tim Wilson,female,0,Yes,Yes,month-to-month,Yes
C000253,Gregory Washington,male,1,Yes,No,month-to-month,Yes
C000254,Michelle Campbell,male,0,No,Yes,one year,No
C000255,Charles Reilly,male,0,No,No,month-to-month,No
C000256,Alicia Goodman,female,0,Yes,Yes,two year,No
C000257,Jamie Holland,female,0,Yes,Yes,two year,No
C000258,Michael Cortez,male,0,No,No,one year,No
C000259,Carla Cooper,female,0,Yes,No,month-to-month,Yes
C000260,Raymond Lloyd,female,1,Yes,No,month-to-month,No
C000261,Tammy Ryan,male,1,No,No,month-to-month,Yes
C000262,Anthony Novak,male,1,No,No,month-to-month,Yes
C000263,Dennis Simmons,male,1,Yes,No,month-to-month,No
C000264,Ian Knight,female,0,No,No,two year,No
C000265,Russell Warren,female,0,Yes,No,one year,No
C000266,Dana Turner,female,0,Yes,Yes,two year,No
C000267,Jacob Rasmussen,male,0,No,No,two year,No
C000268,Bryan Smith,female,1,No,No,month-to-month,No
C000269,Andrea Lopez,male,0,No,No,two year,Yes
C000270,Lori Scott,female,0,Yes,No,two year,No
C000271,Debra Douglas,female,1,No,No,month-to-month,Yes
C000272,Anne Montes,male,0,Yes,No,two year,No
C000273,James Rodriguez,male,0,No,No,month-to-month,Yes
C000274,Robert Gutierrez,male,1,Yes,No,month-to-month,No
C000275,Anthony Potts,male,0,No,No,month-to-month,Yes
C000276,Steven Bush,male,0,Yes,No,month-to-month,Yes
C000277,Holly Williams,female,0,Yes,No,month-to-month,Yes
C000278,Gregory Sellers,male,1,Yes,No,month-to-month,No
C000279,Sean Soto,male,0,No,No,month-to-month,No
C000280,Joshua Martinez,female,0,No,No,month-to-month,No
C000281,Morgan Cervantes,female,0,No,No,month-to-month,No
C000282,Jessica Swanson,female,0,No,No,month-to-month,No
C000283,Brittany Moran,female,0,No,Yes,month-to-month,No
C000284,Andrea Martinez,female,0,No,No,month-to-month,No
C000285,Dan Parker,male,0,Yes,Yes,month-to-month,Yes
C000286,Michelle Massey,female,0,No,No,one year,No
C000287,Dawn Mullins,female,0,No,No,month-to-month,No
C000288,Maria Parker,male,0,Yes,No,month-to-month,Yes
C000289,Stephanie Williamson,male,1,No,No,month-to-month,Yes
C000290,Mary Morris,male,0,No,No,month-to-month,Yes
C000291,John Rice,male,1,No,No,month-to-month,Yes
C000292,Angela Gomez,male,0,No,No,one year,No
C000293,Sandy Peters,male,0,Yes,Yes,one year,No
C000294,Duane Ingram,female,1,No,No,month-to-month,No
C000295,Adam Brady,female,0,No,No,month-to-month,No
C000296,James Combs,male,0,No,No,month-to-month,No
C000297,Daniel Ramirez,female,0,Yes,Yes,two year,No
C000298,Donald Werner,male,1,Yes,No,month-to-month,No
C000299,Ricardo Davis,male,0,Yes,Yes,month-to-month,No
C000300,Brandi Bradley,female,0,No,Yes,month-to-month,Yes
C000301,David Silva,male,0,No,No,one year,No
C000302,Jacob Hodges,female,1,No,No,month-to-month,Yes
C000303,Nicholas Garcia,male,0,No,No,month-to-month,No
C000304,Kelli Smith,female,0,Yes,Yes,two year,No
C000305,Ann Franklin,male,0,No,Yes,month-to-month,No
C000306,Michael Harrison,male,0,Yes,Yes,two year,No
C000307,Monica Tate,male,1,Yes,No,month-to-month,Yes
C000308,Robert Patterson,male,0,Yes,Yes,two year,No
C000309,Pamela Lang,male,1,Yes,Yes,month-to-month,No
C000310,Michaela Johnston,male,0,No,Yes,one year,No
C000311,Pamela Thomas,female,0,No,No,month-to-month,No
C000312,Connor Bennett,female,0,No,No,month-to-month,No
C000313,Jason Miller,female,0,No,No,two year,No
C000314,Erik Jensen,female,1,Yes,No,month-to-month,No
C000315,Debra Ruiz,male,0,No,No,month-to-month,Yes
C000316,Jack Boyle,male,0,Yes,Yes,one year,No
C000317,Kathy Allen,male,0,No,No,two year,No
C000318,Christopher Wagner,female,0,Yes,Yes,one year,Yes
C000319,Samantha Parker,male,1,Yes,No,month-to-month,Yes
C000320,Robin Anderson,male,0,Yes,No,month-to-month,No
C000321,Katrina Warren,female,1,No,No,one year,Yes
C000322,Kimberly Serrano,female,0,Yes,Yes,two year,No
C000323,Kristen Davis,male,0,No,No,month-to-month,No
C000324,Erica Bradshaw,female,0,Yes,Yes,one year,No
C000325,Casey Sharp,male,0,No,No,two year,No
C000326,Austin Moreno,female,0,Yes,No,month-to-month,No
C000327,Natalie Perkins,female,1,Yes,No,month-to-month,No
C000328,Kayla Riddle,female,1,No,No,month-to-month,Yes
C000329,David Greer,female,1,Yes,Yes,month-to-month,No
C000330,Lance Perry,female,1,No,No,month-to-month,No
C000331,David Zavala,female,0,Yes,Yes,two year,No
C000332,Austin Khan,female,0,No,No,one year,No
C000333,Martin Higgins,male,0,No,No,one year,No
C000334,Jesus Wright,female,0,No,No,month-to-month,Yes
C000335,Emily Cortez,female,0,No,No,month-to-month,Yes
C000336,John Davis,male,0,Yes,Yes,one year,Yes
C000337,Andrew Erickson,female,0,No,No,two year,Yes
C000338,Anthony Ryan,female,0,No,No,two year,No
C000339,Sandra Rivera,female,0,No,No,month-to-month,No
C000340,Timothy Beltran,male,0,Yes,No,month-to-month,Yes
C000341,Brian Taylor,female,1,No,No,month-to-month,No
C000342,Zachary Schmidt,female,0,Yes,No,two year,No
C000343,Deanna Reyes,female,0,Yes,Yes,month-to-month,No
C000344,Sara Clayton,male,0,No,No,one year,No
C000345,Christy Watts,female,0,No,Yes,one year,No
C000346,Scott Williams,female,1,No,No,month-to-month,No
C000347,Linda Wood,female,0,No,No,month-to-month,Yes
C000348,Elizabeth Little,female,0,Yes,No,two year,No
C000349,Ashley Davis,female,0,No,No,month-to-month,No
C000350,Trevor Haley,female,1,Yes,No,one year,No
C000351,Christina Chavez,male,0,Yes,Yes,two year,No
C000352,Nathaniel Jackson,male,0,No,Yes,one year,No
C000353,Tiffany Sanchez,female,1,No,No,month-to-month,No
C000354,Nathan Smith,male,0,Yes,Yes,month-to-month,Yes
C000355,Brent Rios,female,1,No,No,month-to-month,Yes
C000356,David Foster,female,0,No,No,month-to-month,Yes
C000357,Sarah Patterson,female,1,No,No,month-to-month,No
C000358,Austin Dawson,male,0,Yes,No,two year,No
C000359,Kyle King,male,1,Yes,No,month-to-month,Yes
C000360,Tyler Patterson,male,0,Yes,Yes,one year,No
C000361,Lydia Davis,male,0,No,Yes,month-to-month,No
C000362,John Peterson,female,0,No,No,two year,No
C000363,Christopher Sullivan,male,0,Yes,No,one year,No
C000364,Bradley Coffey,female,0,No,No,two year,No
C000365,Robert Butler,male,0,No,No,month-to-month,No
C000366,Dominique Garcia,male,0,No,No,month-to-month,Yes
C000367,Lauren Alexander,male,0,Yes,No,month-to-month,No
C000368,Margaret Kelley,female,0,No,No,month-to-month,No
C000369,Dylan Blanchard,male,0,Yes,No,one year,No
C000370,Jay Murphy,male,0,Yes,Yes,two year,No
C000371,Karl Page,male,0,Yes,Yes,one year,No
C000372,Lori Little,male,0,No,No,month-to-month,Yes
C000373,Robert Bailey,male,0,No,Yes,two year,No
C000374,Kimberly Wright,female,0,Yes,Yes,one year,No
C000375,Jon Smith,male,0,No,No,month-to-month,No
C000376,Sarah Solis,female,0,No,No,one year,No
C000377,Marcus Rodriguez,male,0,No,No,month-to-month,No
C000378,Claudia Sharp,female,0,Yes,No,month-to-month,Yes
C000379,Anthony Harrington,female,0,No,No,two year,No
C000380,Destiny Carr,male,0,No,No,one year,No
C000381,Paul Smith,female,0,Yes,No,one year,No
C000382,Marcus Fernandez,male,0,No,No,month-to-month,Yes
C000383,Anna Pham,male,1,Yes,Yes,two year,No
C000384,Robert Jackson,male,0,No,No,month-to-month,Yes
C000385,Frank Cross,male,0,No,No,two year,No
C000386,Frank Ochoa,male,1,Yes,No,month-to-month,Yes
C000387,Jonathan Williams,female,1,Yes,No,month-to-month,Yes
C000388,Brooke Martinez,female,0,No,No,one year,No
C000389,Joseph Taylor,male,0,No,No,month-to-month,No
C000390,Tammy Waters,male,0,No,Yes,month-to-month,No
C000391,Brandy Beck,female,0,No,No,month-to-month,No
C000392,James Crawford,male,1,Yes,No,month-to-month,No
C000393,Michael Meyer,female,1,No,No,month-to-month,No
C000394,Tracey Grimes,female,0,No,No,month-to-month,No
C000395,Patrick Osborne,female,1,Yes,No,month-to-month,No
C000396,Alyssa Garcia,female,0,No,No,two year,No
C000397,Jared Johnston,male,1,Yes,No,month-to-month,No
C000398,Richard Collins,female,0,No,No,month-to-month,Yes
C000399,David Miller,male,1,No,No,month-to-month,No
C000400,Gregory Lara,female,0,Yes,Yes,one year,No
C000401,Michael Wallace,female,0,No,No,one year,No
C000402,Katherine Smith,female,0,No,No,one year,No
C000403,Kyle Smith,male,0,Yes,Yes,month-to-month,Yes
C000404,Andrea Wright,female,0,Yes,No,one year,No
C000405,Kristin Cannon,male,0,No,No,two year,No
C000406,Robert Fox,male,0,No,No,two year,No
C000407,Juan Wilson,male,0,Yes,Yes,one year,No
C000408,James Lee,male,1,Yes,Yes,month-to-month,No
C000409,Cole Arroyo,female,0,No,No,month-to-month,Yes
C000410,Billy Anderson,male,0,No,No,month-to-month,Yes
C000411,Matthew Douglas,male,1,No,No,month-to-month,Yes
C000412,Joel Ferguson,female,0,Yes,No,one year,No
C000413,Kevin Burgess,female,0,Yes,No,month-to-month,No
C000414,Rebecca Barber,male,0,No,No,month-to-month,No
C000415,Kaitlin Levy,female,1,Yes,No,month-to-month,No
C000416,Karen Shea,female,0,Yes,Yes,month-to-month,No
C000417,Charles Schmidt,male,0,Yes,No,two year,No
C000418,Susan Mack,female,0,Yes,Yes,two year,No
C000419,Kenneth Avila,female,0,Yes,Yes,month-to-month,Yes
C000420,Jennifer Wolf,female,1,No,No,month-to-month,Yes
C000421,Brittany Jones,female,0,Yes,Yes,month-to-month,No
C000422,James Ruiz,female,0,No,No,month-to-month,No
C000423,Joseph Kelley,male,0,No,Yes,one year,No
C000424,James Walker,male,0,Yes,Yes,one year,No
C000425,Rachel Martinez,female,0,No,No,month-to-month,No
C000426,Johnny Powell,female,1,Yes,No,month-to-month,No
C000427,Wendy James,male,1,Yes,No,one year,No
C000428,Joseph Evans,female,0,Yes,Yes,month-to-month,No
C000429,Blake Reed,male,0,No,No,month-to-month,No
C000430,Tina Hurley,female,0,Yes,No,one year,No
C000431,Nicole Bautista,female,0,Yes,Yes,month-to-month,Yes
C000432,Matthew Brown,female,0,Yes,Yes,two year,No
C000433,Chad Williams,male,0,No,No,month-to-month,No
C000434,Terri Brown,male,0,No,No,month-to-month,Yes
C000435,Tyler Vargas,male,0,Yes,No,two year,No
C000436,Christina Villanueva,female,0,No,No,month-to-month,No
C000437,Tamara Copeland,male,0,Yes,No,one year,No
C000438,Samantha Walter,male,0,Yes,Yes,two year,No
C000439,Philip Sweeney,male,0,Yes,No,month-to-month,No
C000440,Erica Kennedy,male,0,No,No,month-to-month,No
C000441,Adriana Turner,female,0,Yes,Yes,month-to-month,No
C000442,Alyssa Morton,female,1,No,No,month-to-month,No
C000443,Ashley Ramos,female,0,Yes,No,one year,No
C000444,Donald Wolf,female,0,No,Yes,month-to-month,No
C000445,Gerald Burns,female,0,Yes,No,month-to-month,No
C000446,Lori Wilkinson,female,0,No,No,month-to-month,Yes
C000447,Daniel Swanson,female,0,No,No,month-to-month,Yes
C000448,Sheila White,female,0,Yes,Yes,two year,No
C000449,Rachel Wells,male,0,Yes,Yes,month-to-month,No
C000450,Tyler Foster,male,0,Yes,Yes,two year,No
C000451,Linda Hartman,female,0,No,No,one year,No
C000452,Penny Vega,female,1,No,No,month-to-month,No
C000453,Courtney Barker,male,0,Yes,No,month-to-month,No
C000454,Gabrielle Lopez,female,0,Yes,Yes,month-to-month,Yes
C000455,Jessica Hayes,female,0,Yes,No,two year,No
C000456,Jose Bernard,female,0,No,No,month-to-month,No
C000457,Timothy Carr,male,0,Yes,Yes,one year,No
C000458,Daniel Christensen,female,0,Yes,Yes,two year,No
C000459,Laura Herring,male,0,Yes,No,month-to-month,No
C000460,Danielle Fuller,male,0,No,No,month-to-month,No
C000461,William Jackson,male,0,No,Yes,month-to-month,No
C000462,George Gomez,female,0,Yes,No,month-to-month,No
C000463,Steven Duncan,male,0,Yes,Yes,month-to-month,Yes
C000464,Edward Richard,male,0,No,No,month-to-month,Yes
C000465,Katherine Henry,male,1,Yes,No,two year,No
C000466,Timothy Williamson,male,0,No,No,two year,No
C000467,Amber Alvarado,male,1,Yes,No,two year,No
C000468,Janet Hendricks,male,0,Yes,Yes,one year,No
C000469,Gabrielle Arnold,female,0,No,Yes,two year,No
C000470,Daniel Martinez,female,0,Yes,Yes,month-to-month,Yes
C000471,Andrew Gonzales,female,1,No,No,one year,No
C000472,Allen Anderson,male,0,No,No,month-to-month,Yes
C000473,Michael Chen,male,0,Yes,No,month-to-month,No
C000474,Fred Frye,male,0,Yes,No,month-to-month,No
C000475,Lisa Horn,female,0,Yes,Yes,month-to-month,Yes
C000476,Lisa Horne,male,0,No,No,month-to-month,Yes
C000477,Sheila Bryan,male,1,Yes,Yes,month-to-month,No
C000478,Carrie Johnson,female,0,Yes,Yes,month-to-month,No
C000479,Toni Brown,male,0,No,No,month-to-month,Yes
